,Name,Prep Time,Cook Time,Total Time,Ingredient,Number of Ingredient,Method,Number of cooking step
0,Sweet Corn Gnocchi Skillet Recipe,15,20,35,"['1 pound gnocchi', '2 tablespoons olive oil', 'Kernels from 3 ears sweet corn, or about 3 cups corn kernels', '1 small sweet onion, diced', '3 cloves garlic, minced', '1/2 cup heavy cream (optional)', '1/2 teaspoon salt', 'Ground black pepper', '8 ounces small mozzarella balls (also called pearls or ciliegine)', 'Fresh basil, minced']",10,"['1 Cook the gnocchi: Bring a pot of salted water to boil. Add gnocchi and cook until they float, about 4-5 minutes. Remove gnocchi and reserve 1/2 cup of the cooking water for the skillet.', '2 Cook the corn kernels: Heat a large skillet over medium-high heat, then add the olive oil. When the oil is shimmering, add the corn kernels. Let kernels cook in the skillet for 4-5 minutes until they are brown and blistered. Don\\xe2\\x80\\x99t stir them too much. Let them sit so they get some color.', '3 Add onions and garlic: Once the corn has blistered, add the sweet onions and garlic. Cook for a few minutes until the onions have softened and are translucent.', '4 Make the skillet sauce: Once the onions are soft, add the cooked gnocchi to the skillet and toss everything together. Turn the heat down to low and add 1/2 cup of the reserved gnocchi water, or 1/2 cup cream. Stir to combine ingredients, then let simmer until the sauce has thickened slightly. Taste and season with salt and pepper.', '5 Finish the dish: Right before serving, add the mozzarella balls to the skillet and garnish with fresh basil.', 'Leftovers will keep well in the fridge for a few days. Reheat it in a skillet over low heat with a little water. If you freeze the dish, make sure to thaw and reheat it gently. A microwave will ruin the sauce and the gnocchi texture.']",6
1,Skillet Peach Crisp with Ginger and Pecans Recipe,10,35,45,"['For the crisp topping:', '1/2 cup (66 grams) oat flour (See recipe note)', '1/2 cup (78 grams) all-purpose flour', '1/3 cup old-fashioned rolled oats', '1/4 cup light brown sugar', '1/2 teaspoon fine sea salt or table salt', '3/4 cups pecans, roughly chopped', '1/2 cup unsalted butter cut into small pieces, well chilled', 'For the peaches:', '2 pounds peaches, sliced 1/2-inch thick (about 6 medium, or 6 cups sliced)', '1/2 teaspoon ground ginger', '1/3 cup crystallized candied ginger, diced small', '1/4 cup granulated sugar', '2 tablespoons lemon juice (about 1/2 lemon)', '2 tablespoons unsalted butter, for the pan']",15,"['1 Preheat oven to 350\\xc2\\xb0F.', '2 Make the crisp topping: In a small bowl, combine the two flours with a fork\\xe2\\x80\\x94sometimes oat flour clumps together more than all-purpose. Add the rolled oats, brown sugar, and sea salt. Add the pecans and stir to combine.', 'Finally, rub the butter until topping is buttery and crumbly. It should clump together easily between your fingers.', '3 Prepare the peaches: In a medium bowl, combine the sliced peaches, ground ginger, crystalized ginger, and sugar, along with the lemon juice. Stir together gently with a spatula.', '4 Prepare the pan: Put the remaining 2 tablespoons of butter into the cast iron pan and place into the oven for about 5 minutes, just until the butter melts.', '5 Assemble the crisp: Remove the pan from the oven and add the peach-ginger combination, spreading it out evenly. Add little dabs of the crisp topping as evenly as you can across the top of the peaches.', '  6 Bake the crisp: Bake in the oven for 30 to 35 minutes, or until the filling is bubbling and the top is golden brown.', '7 Cool and serve: This is going to be hard, but you need to wait at least an hour before you scoop into this. Otherwise the juices will run everywhere, and you may burn your mouth.', 'Once it\\xe2\\x80\\x99s made, this keeps best covered, in the refrigerator, for 3 to 4 days. Simply reheat it in a low oven for about 10 minutes.']",9
2,Steak on the Stovetop Recipe,30,10,40,"['One 3/4- to 1-pound steak, 3/4- to 1-inch thick, such as ribeye, strip, or porterhouse', 'Kosher salt', '2 tablespoons unsalted butter, optional', 'A few sprigs fresh thyme or rosemary, optional', 'Flaky sea salt, for sprinkling, optional']",5,"['1 Pat the steak dry: Pat the steak dry with paper towels and season it liberally with salt all over; let rest at room temperature for 30 minutes.', '2 Heat the skillet: Heat a cast-iron or stainless-steel skillet large enough to hold the steak on the stove over medium-high heat until very hot and it just barely starts to smoke, about 3 minutes.', '3 Pat the steak dry (again) and cook: Pat the steak dry again with paper towels, add the steak, and cook, pressing down to make sure it gets good contact with the pan, until a nice sear starts to form, about 2 minutes; flip over and cook for 2 minutes more.', 'For a rare to medium-rare steak: Depending on the thickness of your steak, for a rare to medium-rare steak you should be able to remove the steak from the pan after 4 total minutes of cooking time.', 'For a medium to well-done steak: Reduce the heat to medium-low and continue to cook, flipping over every minute or so, to your desired temperature, anywhere from an additional 2 to 6 minutes (or more for extra well-done).', '4 Baste with butter and herbs (optional): If you want even more flavor, add the butter and herbs to the pan during the last couple minutes of cooking and baste it with the butter.', '5 Serve: Remove the steak from the pan and let rest for a couple of minutes before slicing. If desired, sprinkle with some flaky sea salt. Serve.']",7
3,One-Pan Paprika Chicken with Potatoes and Tomatoes Recipe,15,60,75,"['6 to 8 chicken thighs (about 3 pounds, bone-in, skin-on, trimmed of excess fat)', '2 tablespoons Dijon mustard', 'Juice of 1 lemon', '2 teaspoons paprika', '4 tablespoons olive oil', '1 1/2 pounds baby potatoes', '1 red onion, cut into 8 wedges', '6 garlic cloves, smashed', '1/2 pint cherry tomatoes', 'Handful of thyme sprigs', 'Leaves from 3 to 4 parsley sprigs, for garnish']",11,"['1 Heat the oven to 400\\xc2\\xb0F. Place a rack in the middle position.', '2 Prepare the chicken: With scissors or a sharp knife, trim the excess chicken skin and fat from the thighs. Sprinkle all over with salt and pepper.', '3 Marinate the chicken in the sauce: In a large bowl, stir together the mustard, lemon juice, paprika, 2 tablespoons of the oil, and additional salt and pepper to taste. Add the chicken thighs and toss to coat. Set aside while you chop the vegetables.', '4 Prepare the vegetables: Cut the baby potatoes into halves. Peel the red onion and cut it into 8 wedges through the root end. Cut the cherry tomatoes in half, but keep them separate from the other vegetables.', '5 Bake the chicken and vegetables: In a large baking dish (9x13-inch pan, 3-quart dish, or other similar sized baking dish), toss the potatoes, onion, and garlic with salt, pepper, and the remaining 2 tablespoons of olive oil. Spread them evenly in the pan and top with thyme sprigs.', 'Nestle the chicken into the vegetables and scrape any extra sauce over top. Bake at 400\\xc2\\xb0F for 30 minutes, uncovered.', '6 Add the tomatoes: Remove the pan from the oven, scatter the cherry tomatoes on top, and return the pan to the oven.', '7 Bake for another 25 to 30 minutes, or until the potatoes are tender and an instant-read thermometer inserted into the middle of a thigh registers 165\\xc2\\xb0F. Serve with a salad or crusty bread.']",8
4,Quick and Easy Pan-Fried Flank Steak Recipe,10,25,35,"['1 1/2 pound flank steak', 'Salt', 'Freshly ground black pepper', 'Dry mustard', 'Softened butter']",5,"['1 Tenderize the steak with shallow cuts: Remove the steak from the refrigerator a half hour before cooking.', 'Cut away any tough connective tissue on the surface of the steak.', 'Using the tip of a sharp knife, poke small cuts into the meat, almost all the way through. The cuts should be at an angle, in the direction of the grain of the meat as the knife tip is going in. The cuts should be about an inch apart from each other.', 'Turn the steak over and repeat the cuts on the other side. Make sure that the cuts you are making on this side are parallel with the cuts you made on the other side, otherwise you may cut across an existing cut, and end up poking a hole through the meat.', ""2 Rub with salt, pepper, dry mustard, and butter: Sprinkle one side of the steak with salt and freshly ground pepper. Sprinkle the steak with dry mustard. (You can use regular mustard if you don't have any dry mustard.)"", 'Rub a tablespoon of butter all over the side of the steak. Turn the steak over and repeat with the dry mustard, pepper, and butter.', '3 Sear steak in hot frying pan: Heat a large cast iron frying pan on high heat. Place steak in hot pan. Let sear for 2 to 3 minutes until well browned.', 'Use tongs to lift up to see if nicely browned. If so, flip to the other side and let sear for 2 to 3 minutes.', '4 Remove from heat: Remove the pan from the heat and let the steak continue to cook for 5 to 10 minutes in the residual heat of the pan (assuming you are using cast iron, if not, lower the heat to low).', '5 Check for doneness: Use your fingertips to check for doneness or insert a meat thermometer into the thickest part of the steak - 120\\xc2\\xb0F for very rare, 125\\xc2\\xb0F for rare, or 130\\xc2\\xb0F for medium rare. Flank steak should be served rare or medium rare, otherwise it may be too dry.', ""If the steak isn't done enough to your liking, return the steak and pan to medium high heat for a few minutes."", '6 Let the steak rest: Remove the steak from the pan to a cutting board and let rest for 10 minutes, covered with aluminum foil.', '7 Thinly slice: Cut the meat in very thin slices, at an angle, across the grain of the meat. (This way you break through the tough long muscle fibers.)', '8 Boil juices, deglaze pan, add butter to make sauce: Any juices that come out of the meat while cutting or resting, return to the pan. Return the pan to a burner on high heat and deglaze the pan with a little water, scraping up any browned bits. Once the water has mostly boiled down, add a little butter to the pan for a nice sauce.', 'Arrange the cut meat on a serving plate and pour the deglazed pan juices over the meat.']",15
5,Herbes de Provence Skillet Chicken with Potatoes and Greens Recipe,15,155,170,"['For the marinade:', '1 1/2 pounds boneless skinless chicken tenders, tenderloin, or thinly sliced chicken breasts', '1 1/2 tablespoons herbes de Provence', '1 1/4 teaspoons Kosher salt', '1 teaspoon freshly ground pepper', 'Zest of one lemon', '1 1/2 tablespoons lemon juice', '3 cloves minced garlic', '2 tablespoons olive oil', 'For the vegetables:', '2 teaspoons olive oil', '3 tablespoons butter, divided', '1 1/2 pounds B-sized or baby potatoes', '1/2 yellow onion', '1/2 teaspoon Kosher salt', 'A few cracks of freshly ground pepper', '2 handfuls (2 packed cups) Swiss chard or spinach', '1/3 cup halved pimento-stuffed Spanish olives', '1 teaspoon red wine vinegar']",19,"['1 Label the bag: Use a sharpie to write the date and title of the recipe on a gallon-sized zip top bag so you can easily find it on SimplyRecipes.com when you want to cook it. Alternatively, write the cooking instructions on the bag, and date it.', '2 Combine the ingredients: Roll down the opening of the bag a little just so you don\\xe2\\x80\\x99t accidently get raw chicken juices on the outside of the zip top. Add the chicken, spices, zest, lemon juice, garlic and olive oil.', 'Remove as much air as possible and seal the bag. Smoosh the chicken around so it\\xe2\\x80\\x99s coated in the marinade.', '3 Lay the chicken flat in the freezer and freeze for up to 6 months:', 'Alternatively, you could skip the freezer and let it marinade in the fridge for a couple of hours and up to two days, then cook it according to the directions below.', ' 4 Thaw the chicken before cooking: When ready to cook, take the chicken out of the freezer in the morning before you go to work, and it will be ready to cook by the end of the day.', '5 Prepare the vegetables: If the b-sized potatoes are larger than a golf ball, quarter them; if they are smaller just half them. Slice the onion. Wash the Swiss chard, remove the stems and chop them. Then cut the leaves into strips about an inch thick. Cut the olives in half.', '  6 Cook the chicken: Set a large skillet over medium heat add 2 teaspoons of olive oil and 1 tablespoon butter. Once the oil shimmers and the butter melts, add the chicken and any marinade in the bag.', 'If any chicken is folded up, unfold it so it lays flat in the pan. Cook the chicken for 2 minutes, then flip it.', '7 Add the vegetables: Add the potatoes, onion, and 1/4 cup water to the pan with the chicken. Cover with a lid. Let everything simmer together for about 10 minutes.', '8 Finish the potatoes and make the sauce: Remove the chicken to a plate (leaving the vegetables in the skillet) and tent with foil. Add the remaining 2 tablespoons of butter, 1/4 teaspoon of salt and a few cracks of freshly ground pepper to the skillet. Stir the potatoes, cover and cook for another 10 minutes.', 'Turn the heat up to medium high to reduce the liquid and finish cooking the potatoes uncovered. This should take about 2 to 3 minutes depending on how much liquid is in the pan.', 'When you can easily pierce the potatoes with a fork, add the chard leaves and chopped stems, olives, and red wine vinegar. Toss gently until the greens are just wilted.', '9 Serve: Nestle the chicken back into the pan. Bring the whole thing over to the table and serve.']",14
6,Quick Easy Fish Stew Recipe,10,20,30,"['6 tablespoons extra virgin olive oil', '1 medium onion, chopped (about 1 1/2 cups)', '3 large garlic cloves, minced', '2/3 cup fresh parsley, chopped', '1 1/2 cups of fresh chopped tomato (about 1 medium sized tomato) OR 1 14-ounce can of whole or crushed tomatoes with their juices', '2 teaspoons tomato paste (optional)', '8 oz of clam juice (or shellfish stock)', '1/2 cup dry white wine (like Sauvignon blanc)', '1 1/2 pound fish fillets (use a firm white fish such as halibut, cod, red snapper, or sea bass), cut into 2-inch pieces', 'Pinch of dry oregano', 'Pinch of dry thyme', '1/8 teaspoon Tabasco sauce (or more to taste)', '1/8 teaspoon freshly ground black pepper, plus more to taste', '1 teaspoon of salt, plus more to taste']",14,"['1 Heat olive oil in a large thick-bottomed pot over medium-high heat. Add onion and saut\\xc3\\xa9 4 minutes, add the garlic and cook a minute more. Add parsley and stir 2 minutes. Add tomato and tomato paste, and gently cook for 10 minutes or so.', '2 Add clam juice, dry white wine, and fish. Bring to a simmer and simmer until the fish is cooked through and easily flakes apart, about 3 to 5 minutes. Add seasoning \\xe2\\x80\\x94salt, pepper, oregano, thyme, Tabasco. Add more salt and pepper to taste. Ladle into bowls and serve.', 'Great served with crusty bread for dipping in the fish stew broth.']",3
7,Puerto Rican Salmorejo (Stewed Crab and Tomatoes with Rice) Recipe,10,20,30,"['1 tablespoon extra-virgin olive oil', '6 mini sweet peppers (or yellow, red, or orange bell pepper), diced (about 1/4 cup)', '1/2 green bell pepper, diced (about 1/2 cup)', '1 medium white onion, diced (about 1 cup)', '3 cloves garlic, minced', '3 large Roma tomatoes, diced (about 2 cups)', '1 (8-ounce) can of tomato sauce, about 1/4 cup', '2 tablespoons recaito, store-bought or homemade', '1 1/2 teaspoons Saz\\xc3\\xb3n con culantro y achiote seasoning, store-bought or homemade', '1 teaspoon dried oregano', '1 teaspoon kosher salt', '1/4 teaspoon black pepper', '1 bay leaf', '6 stuffed Manzanilla olives', '1 tablespoon capers, drained of brine', '1 pound crabmeat (lump, backfin, or claw, or a combination of these)', '1/2 cup water', 'To serve:', 'Cooked white rice', 'Fried green plantain chips (optional)']",20,"['1 Cook the veggies: In a large skillet with a lid, heat the oil over medium-high heat until the surface of the oil begins to ripple. Add the sweet peppers, bell pepper, onion, and garlic to the pan and saut\\xc3\\xa9 for 3 minutes, or until the vegetables look glossy and translucent.', 'Reduce the heat to medium, and add the tomatoes to the pan. Cook the mixture, stirring frequently, for 4 more minutes.', '2 Simmer the spices and seasonings: Stir in the tomato sauce, recao, Saz\\xc3\\xb3n, oregano, salt, pepper, bay leaf, olives, and capers. Bring the ingredients to a gentle simmer and then lower the heat to maintain the simmer\\xe2\\x80\\x94tiny bubbles should just barely break the surface of the liquid. Simmer for five minutes, uncovered.', '3 Fold in the crabmeat and simmer: Add the crabmeat and water to the pan, and gently fold the meat into the tomato sauce. Avoid stirring too aggressively: you want to keep the crabmeat in lumps.', 'Reduce the heat to medium-low, and cover the pan. Allow the salmorejo to simmer for 10 minutes without stirring.', '4 Serve: Serve the salmorejo over steamed white rice, or atop fried plantain chips. Leftovers will keep in the refrigerator for up to two days and reheat well over the stovetop or in the microwave.', 'You can also freeze the salmorejo for up to two months in a zip-top storage bag. Thaw overnight in the fridge, and warm it on the stove in a saucepan until it\\xe2\\x80\\x99s bubbling.']",7
8,Beef Steak Fajitas Recipe,70,15,85,"['1 tablespoon vegetable oil', '1 pound of flank steak, skirt steak or carne asada', '1 large yellow onion, peeled and sliced with the grain, not against the grain as one would normally slice an onion. Slice first in half, and then slice off sections a half inch wide at widest point.', '2-3 bell peppers of various colors, stemmed, seeded, de-ribbed, sliced lengthwise into strips', 'Salt', 'STEAK FAJITA MARINADE:', 'Juice of 1 lime', '2 tablespoons of extra virgin olive oil', '2 cloves garlic, peeled, minced', '1/2 teaspoon ground cumin', '1/2 fresh jalape\\xc3\\xb1o pepper, seeded, ribs removed, finely chopped (be careful not to touch your eyes or anywhere near your eyes after handling a jalape\\xc3\\xb1o pepper!)', '1/4 cup chopped fresh cilantro, including stems']",12,"['1 Marinate the steak: Mix all marinade ingredients. Coat the steak with the marinade and let it sit at room temperature for an hour, or longer in the fridge.', 'Before you cook the meat, wipe off most of the marinade and sprinkle the steak with salt.', '2 Sear the steak on both sides: Set a large cast iron pan or griddle over high heat and let this heat up for 1-2 minutes. Add the tablespoon of oil to the pan and let this heat up for 1 minute.', 'Add the steak, frying on each side for 3 minutes, or to desired doneness. 3 minutes per side will yield approximately medium rare doneness for an average cut of flank steak.', 'Carne asada and skirt steak will need less time. If the pan starts to smoke too much, reduce the heat to medium-high. You want the steak browned, not burned.', 'Remove from pan and let sit, tented with foil, for 5 minutes.', '3 Cook the vegetables while the meat is resting. Add a little more oil to the pan if necessary, then add the onions and bell peppers.', 'Let these sear for 1 minute before stirring, then stir every 90 seconds or so as the veggies sear. Cook for 5-6 minutes total.', '4 Slice the meat across the grain into thin slices. If you slice the meat at an angle, you will be able to get your slices pretty thin. These cuts of steak are flavorful but can be a little tough, so thin slices will really help make it easier to eat.', '5 Serve immediately with shredded cheese, salsa, shredded iceberg lettuce, sour cream, guacamole and warm flour tortillas. (Hint for warming tortillas - put in microwave over a paper towel for 20 seconds on high heat.)']",10
9,"Italian Skillet Chicken with Spinach, Tomatoes, and Onions Recipe",12,25,37,"['For the marinade', '1 1/2 pounds boneless skinless chicken tenders, tenderloin, or thinly sliced chicken breasts', '1 tablespoon dried oregano', '2 1/2 teaspoons dried thyme', '1 1/2 teaspoons Kosher salt', '1 teaspoon dried basil', '1 teaspoon freshly ground pepper', 'Zest from 1 lemon', '3 tablespoons lemon juice, from about 1 lemon', '3 cloves garlic, minced', '2 tablespoons olive oil', 'For the vegetables', '2 teaspoons olive oil', '1 pint cherry tomatoes', '1 medium red onion', '2 large handfuls spinach, about 2 packed cups', '1 teaspoon capers', '1 tablespoon butter', 'Crusty bread, to serve']",19,"['1 Label the bag: Use a sharpie to write the date and the title of the recipe on a gallon-sized zip top bag so you can easily find it on SimplyRecipes.com when you want to cook it. Alternatively, write the cooking instructions on the bag.', '2 Combine the ingredients: Roll down the opening of the bag a little just so you don\\xe2\\x80\\x99t accidently get raw chicken juices on the outside of the zip top. Add the chicken, spices, zest,  lemon juice, garlic and olive oil.', 'Remove as much air as possible and seal the bag. Smoosh the chicken around so it\\xe2\\x80\\x99s coated in the marinade.', '3 Lay the chicken flat in the freezer and freeze for up to 6 months.', 'Alternatively, you could skip the freezer and let it marinade in the fridge for a couple of hours and up to two days, then cook it according to the directions below.', '4 Thaw the chicken before cooking: Take the chicken out of the freezer in the morning before you go to work, and it will be ready to cook by the end of the day.', '5 Prepare the onion: Peel and trim the stem ends of the onion, but leave the stem intact so it can keep the onion layers together. Slice the onion in half. Then slice each half into 5 wedges leaving a little stem with each one.', '6 Cook the chicken: Set a large skillet over medium heat add 2 teaspoons of olive oil. Once the oil shimmers, add chicken and any marinade in the bag. If any chicken is folded up, unfolded it so it lays flat in the pan. Cook the chicken for 2 minutes, then flip it.', '7 Add the vegetables: Add the onion wedges, tomatoes, and capers. Cover with a lid. Let everything simmer together for 12 to 15 minutes. The tomatoes should be soft, and the onions dull in color.', '8 Check the chicken: Check the chicken to see if it\\xe2\\x80\\x99s cooked through by cutting a piece open. If the juices run clear, and you don\\xe2\\x80\\x99t see any pink the chicken is ready. Use a fork to remove the chicken to a plate and tent with foil.', '9 Finish the sauce: Turn the heat up to medium high. Add 1 tablespoon butter to the sauce. Stir it in and let the sauce reduce uncovered for about 2 minutes. Add the spinach stir to coat a couple of times until the spinach has wilted.', '10 To serve: Nestle the chicken back into the pan, and season to taste with salt and pepper.', 'Bring the skillet to the table. Spoon up chicken, vegetables and sauces into shallow bowls or plates. Serve with crusty bread to sop up the sauce.']",13
